Название,Цена,Валюта,Описание,Филиал,Длительность,Категория
Общий расслабляющий массаж тела,2000,RUB,"Глубокое расслабление и лёгкость. Полный SPA‑формат отдыха.",Юности 2,60 минут,Массаж
Классический массаж тела,2200,RUB,"Классическая проработка мышц. Тонус и комфорт без боли.",Юности 2,60 минут,Массаж
Массаж всего тела (глубокий релакс),2800,RUB,"90 минут перезагрузки. Уют, тепло и гармония для тела.",Юности 2,90 минут,Массаж
Массаж спины и шеи,2000,RUB,"Снимает усталость и напряжение. Комфорт и забота.",Юности 2,45 минут,Массаж
Моделирующий массаж тела,2800,RUB,"Комплекс: антицеллюлитный, лимфодренажный, медовый, солевой.",Юности 2,60 минут,Массаж
Антицеллюлитный массаж,2800,RUB,"Ровная, гладкая кожа. Работаем с отёками и неровностями.",Юности 2,60 минут,Массаж
Лимфодренажный массаж,2500,RUB,"Лёгкость и стройность. Улучшает отток жидкости и тонус.",Юности 2,60 минут,Массаж
Медовый массаж,2800,RUB,"Натуральный уход: детокс и питание кожи, чувство лёгкости.",Юности 2,60 минут,Массаж
Солевой массаж,2500,RUB,"Очищение и упругость кожи. Эстетическая SPA‑процедура.",Юности 2,60 минут,Массаж
Общий расслабляющий массаж тела,1800,RUB,"Расслабьтесь после рабочего дня. Массаж всего тела в уюте.",Весенняя,60 минут,Массаж
Классический массаж тела,2000,RUB,"Классика ухода: снимаем зажимы и усталость. Тонус и энергия.",Весенняя,60 минут,Массаж
Массаж всего тела (глубокий релакс),2500,RUB,"Полный массаж от головы до пят. Тепло, комфорт, восстановление.",Весенняя,90 минут,Массаж
Массаж спины и шеи,1800,RUB,"Снимаем напряжение и усталость. Рядом с домом, без ожидания.",Весенняя,45 минут,Массаж
Моделирующий массаж тела,2600,RUB,"Комплекс для фигуры и тонуса. Комфорт и видимый эффект.",Весенняя,60 минут,Массаж
Антицеллюлитный массаж,2600,RUB,"Борьба с отёками и неровностями. Гладкость кожи без боли.",Весенняя,60 минут,Массаж
Лимфодренажный массаж,2300,RUB,"Мягкое очищение и лёгкость. Помогает снять отёки и тяжесть.",Весенняя,60 минут,Массаж
Медовый массаж,2600,RUB,"Сладкий уход и восстановление. Натуральный детокс кожи.",Весенняя,60 минут,Массаж
Солевой массаж,2300,RUB,"Морская свежесть и упругость. Гладкая кожа и энергия тела.",Весенняя,60 минут,Массаж
